input_uuid	library_uuid
05a484dc-6e28-43de-963f-71526a24e278	33df001c-5f0d-4a1b-9099-992f09ecb711
1a28a382-de72-4db2-b66b-6d438c161023	14f11f42-5bed-491a-a833-95a17e2f5c00
1a28a382-de72-4db2-b66b-6d438c161023	15cd8b06-5a54-4a03-85ac-2de30a37babf
1a28a382-de72-4db2-b66b-6d438c161023	1bd464ed-846a-4838-b28c-ccd640581028
1a28a382-de72-4db2-b66b-6d438c161023	1e6704f1-49f8-421c-9b60-c14f6a2d8962
1a28a382-de72-4db2-b66b-6d438c161023	2ddaad71-1d3b-4eb5-90a2-110bff979b8c
1a28a382-de72-4db2-b66b-6d438c161023	3be7bdc1-bcb9-4baa-9d9d-c30cce90a7f2
1a28a382-de72-4db2-b66b-6d438c161023	5a64c46c-9c7e-4599-a870-1b92cab67318
1a28a382-de72-4db2-b66b-6d438c161023	870225ed-551a-42bc-9be4-55600d329264
1a28a382-de72-4db2-b66b-6d438c161023	88789440-e16e-457a-b081-9bf355c1141d
1a28a382-de72-4db2-b66b-6d438c161023	9db9b20d-3438-4b9e-a2f6-f9fd5ab1a963
1a28a382-de72-4db2-b66b-6d438c161023	a57f03ce-d4ca-4acb-a798-9b322658b84e
1a28a382-de72-4db2-b66b-6d438c161023	ac6dd2a7-67c9-435b-a7a1-1a94035ca970
1a28a382-de72-4db2-b66b-6d438c161023	ae796279-4136-4c85-b86b-f7ad1873369f
1a28a382-de72-4db2-b66b-6d438c161023	b8c0e2c4-350f-4fc0-ac73-9c93081d8adb
1a28a382-de72-4db2-b66b-6d438c161023	bc96967b-2d8b-4747-ae05-8797b5741778
1a28a382-de72-4db2-b66b-6d438c161023	c7f23602-0d28-40e7-a503-fa868cd9ffb7
1a28a382-de72-4db2-b66b-6d438c161023	d0fb83e6-d5ec-4dae-b67c-31b84e6791ee
1a28a382-de72-4db2-b66b-6d438c161023	ef341d96-5115-4aa5-8071-378a57b4f8ea
1a28a382-de72-4db2-b66b-6d438c161023	fd083c8e-fcbe-46ed-9d7f-89b9c2a552d4
3ec33462-4bc7-4875-bea7-23dbd099b4db	47d79311-e7fb-4adb-bb27-0f6712c2e459
5a1fd5f9-9028-4b44-834e-f42bbdc54d85	1a5794f1-2c28-4217-afa2-a921a5d4e13d
5a1fd5f9-9028-4b44-834e-f42bbdc54d85	cd2c81d2-2fdb-4c5d-a6bc-f52491523a47
62dd35e1-46d4-433d-9f48-97b186c7efa4	2ea78667-56e4-4352-bc68-b6b0cda70934
62dd35e1-46d4-433d-9f48-97b186c7efa4	3dba567d-d7b2-439d-b8f6-6673452853ad
