Tissue	Database	TF	OddsRatio	AdjustedPvalue
iPSC	JASPAR	AhrArnt	0.205787765352491	9.24189258112578e-99
iPSC	JASPAR	Alx1	1.22051225701888	0.0650079437934675
iPSC	JASPAR	ALX3	1.21993589042633	0.0532171665045932
iPSC	JASPAR	Alx4	1.07973659525047	0.497534665382222
iPSC	JASPAR	Ar	0.578197006977065	1.04780979516876e-06
iPSC	JASPAR	ARGFX	1.26821547531857	0.0203265178695186
iPSC	JASPAR	Arid3a	1.30425691184888	0.000476311159625827
iPSC	JASPAR	Arid3b	1.43230553953953	0.000177702409238527
iPSC	JASPAR	Arid5a	1.14951992932546	0.299092711860546
iPSC	JASPAR	Arnt	0.303817673139522	1.24700221041321e-54
iPSC	JASPAR	ARNT2	0.287181294229253	3.36021664088464e-33
iPSC	JASPAR	ARNTHIF1A	0.36430861598396	1.01009883456072e-14
iPSC	JASPAR	Arntl	0.286853330614839	8.19920745056203e-33
iPSC	JASPAR	Arx	1.17720731532797	0.177413140436758
iPSC	JASPAR	ASCL1	0.495285563432219	9.99408514571042e-39
iPSC	JASPAR	ASCL1var.2	0.491307840987961	1.93919312704721e-55
iPSC	JASPAR	Ascl2	0.548119317510656	1.00463568051404e-31
iPSC	JASPAR	Atf1	0.163682490782724	1.65599449943014e-25
iPSC	JASPAR	ATF2	0.627908787365896	1.27733494295035e-09
iPSC	JASPAR	ATF3	0.299445449665065	3.40474072703296e-27
iPSC	JASPAR	ATF4	0.956976016412484	0.6821010207799
iPSC	JASPAR	ATF6	0.34220289739197	3.1287747256912e-23
iPSC	JASPAR	ATF7	0.336508062659185	1.68918073555846e-21
iPSC	JASPAR	Atoh1	1.00172334131267	0.962233922946225
iPSC	JASPAR	ATOH1var.2	0.661232305969384	1.6147486645482e-12
iPSC	JASPAR	ATOH7	0.976631894906262	0.859171869728352
iPSC	JASPAR	BACH1	0.560083353196092	3.15243118148238e-19
iPSC	JASPAR	Bach1Mafk	0.55602679284307	4.11966612462765e-21
iPSC	JASPAR	BACH2	0.740204724092294	0.00143184795590274
iPSC	JASPAR	BACH2var.2	0.642788630507613	0.000489107700743846
iPSC	JASPAR	BARHL1	0.434226924723108	1.32268931070993e-05
iPSC	JASPAR	BARHL2	0.700034786733845	0.0138035322815582
iPSC	JASPAR	BARX1	0.944806770773063	0.652828331131719
iPSC	JASPAR	BARX2	1.48410894062646	1.27431960955583e-05
iPSC	JASPAR	BATF	0.595455892133385	5.66460094197691e-12
iPSC	JASPAR	BATF3	0.657880917453263	1.15407552674742e-08
iPSC	JASPAR	BATFJUN	0.594583560751687	4.21098425566837e-12
iPSC	JASPAR	BCL6	0.640862367230899	1.25863094392932e-08
