Tissue	Type	Condition	n_qelements	Elements	Percent
CVPC	caQTL	Cond. 1	1021	202941	0.503101886755264
CVPC	caQTL	Cond. 2	44	202941	0.0216811782734884
CVPC	caQTL	Cond. 3	4	202941	0.00197101620668076
CVPC	caQTL	Primary	11239	202941	5.53806278672126
CVPC	eQTL	Cond. 1	1043	18314	5.69509664737359
CVPC	eQTL	Cond. 2	160	18314	0.873648574860762
CVPC	eQTL	Cond. 3	28	18314	0.152888500600633
CVPC	eQTL	Primary	4837	18314	26.4114884787594
CVPC	haQTL	Cond. 1	710	60556	1.17246845894709
CVPC	haQTL	Cond. 2	36	60556	0.0594491049606975
CVPC	haQTL	Cond. 3	7	60556	0.0115595481868023
CVPC	haQTL	Primary	8937	60556	14.7582403064932
iPSC	caQTL	Cond. 1	954	172075	0.554409414499491
iPSC	caQTL	Cond. 2	57	172075	0.0331250908034287
iPSC	caQTL	Cond. 3	7	172075	0.00406799360743862
iPSC	caQTL	Primary	9053	172075	5.26107801830597
iPSC	eQTL	Cond. 1	2893	18720	15.4540598290598
iPSC	eQTL	Cond. 2	583	18720	3.11431623931624
iPSC	eQTL	Cond. 3	108	18720	0.576923076923077
iPSC	eQTL	Primary	9012	18720	48.1410256410257
iPSC	haQTL	Cond. 1	19	44206	0.0429805908700176
iPSC	haQTL	Cond. 2	1	44206	0.00226213636157988
iPSC	haQTL	Primary	1459	44206	3.30045695154504
PPC	caQTL	Cond. 1	891	193428	0.460636515912898
PPC	caQTL	Cond. 2	32	193428	0.0165436234671299
PPC	caQTL	Cond. 3	3	193428	0.00155096470004343
PPC	caQTL	Primary	10313	193428	5.33169965051595
PPC	eQTL	Cond. 1	1289	20738	6.21564278136754
PPC	eQTL	Cond. 2	205	20738	0.988523483460314
PPC	eQTL	Cond. 3	45	20738	0.216992959783971
PPC	eQTL	Primary	5456	20738	26.3091908573633
