TF	Annotation	x11	x12	x21	x22	estimate	ci1	ci2	pval	padj	log2r
ALX1	caPeak	14	601	2578	52134	0.471081416350353	0.255635364386098	0.798161347432076	0.00277419476181597	0.0409186324780005	-1.08595167450964
ALX1	caPeak-haPeak	18	597	1623	53089	0.986243838104195	0.578995859622819	1.57741533427268	1	1	-0.0199837134639701
ALX1	non-caPeak	583	32	50511	4201	1.51517778375265	1.05967809284494	2.23944281414613	0.0217294375479897	0.133089123791428	0.59948708260264
ALX4	caPeak	18	589	2574	52143	0.619071844054359	0.363732030907741	0.98913534243848	0.0422034283978101	0.195620458966031	-0.691821249185453
ALX4	caPeak-haPeak	12	595	1629	53088	0.657264902943408	0.336975241499861	1.16000471287821	0.183830793742007	0.430338518918019	-0.605453145744618
ALX4	non-caPeak	577	30	50514	4203	1.60022609127277	1.10696129569964	2.39688701340268	0.0110046632277634	0.0902063990489526	0.678275753684117
ARID3A	caPeak	88	2517	2503	50064	0.699276656371613	0.556698968300262	0.868679406083677	0.00087642953376203	0.0208465024816254	-0.516064749715197
ARID3A	caPeak-haPeak	97	2508	1537	51030	1.28408333225792	1.03084994787918	1.58396656237787	0.0209146432704	0.131186482919137	0.360738831069366
ARID3A	non-caPeak	2420	185	48527	4040	1.08904169527884	0.934022517503822	1.2759524532615	0.290550816719606	0.540618324381746	0.12305919043725
ARID3B	caPeak	31	956	2562	51767	0.655198412687573	0.441663620736397	0.938763317191625	0.0182916046615242	0.12093417109913	-0.609996233040525
ARID3B	caPeak-haPeak	32	955	1608	52721	1.09860286952881	0.74452808606419	1.56801331232123	0.569889363992123	0.78095949880402	0.135669965264671
ARID3B	non-caPeak	924	63	50159	4170	1.21934175077796	0.942037616755238	1.60307329669698	0.146640168837553	0.376348178981929	0.28610253371241
ARID5A	caPeak	31	681	2562	52047	0.924764940451422	0.621995703041847	1.32852679992608	0.788545332576785	0.918927587985543	-0.112841391248222
ARID5A	caPeak-haPeak	35	677	1605	53004	1.70728549497329	1.17485221680173	2.40827840945752	0.00367590125617776	0.0473014245740305	0.771704328279216
ARID5A	non-caPeak	646	66	50442	4167	0.808578209953373	0.625582641578998	1.06025151825873	0.102723145604228	0.319689789590728	-0.306540769358126
ARNT	caPeak	151	3147	2422	49236	0.975413603151743	0.818799388562647	1.15495221302821	0.798777507867887	0.923586493472244	-0.0359140024984976
ARNT	caPeak-haPeak	114	3184	1511	50147	1.18825718404596	0.970227695419146	1.44345704695734	0.089459320520204	0.300908623567959	0.248847124010245
ARNT	non-caPeak	3033	265	47725	3933	0.943186493793455	0.828007033927598	1.07788798330637	0.379306063777795	0.62297863989152	-0.0843850354720568
ARNT2	caPeak	78	1884	2501	50707	0.839393017681171	0.658136407568384	1.05710542373501	0.141484063844858	0.36807963484639	-0.252581632376722
ARNT2	caPeak-haPeak	73	1889	1559	51649	1.28027710039593	0.993755754204796	1.62747380638943	0.0486985933396235	0.214080944978147	0.356456097804258
ARNT2	non-caPeak	1811	151	49148	4060	0.990744079685432	0.836025684809083	1.18121706841257	0.89668677919656	0.967878131794473	-0.0134156536721371
ATF1	caPeak	32	905	2556	51796	0.716528898086922	0.486033608418976	1.02156046237901	0.0721133941855003	0.260311764376928	-0.48090320437626
ATF1	caPeak-haPeak	19	918	1622	52730	0.672849554344718	0.402151244599619	1.06037316419301	0.0978511685603898	0.312560567200094	-0.571644133089366
ATF1	non-caPeak	886	51	50174	4178	1.44654971914916	1.08823398903459	1.96150010239964	0.00911205109920675	0.0820084598928608	0.532615910780277
ATF2	caPeak	121	2774	2467	49831	0.88106209487394	0.725037779324579	1.0623310346405	0.190396876410748	0.438769272282208	-0.18268439491329
ATF2	caPeak-haPeak	116	2779	1519	50779	1.39537003760859	1.14075669615694	1.69326303428318	0.00106602282876983	0.0228465216438625	0.480647760499389
ATF2	non-caPeak	2658	237	48312	3986	0.925288938578714	0.806549261990829	1.06542075684932	0.265519499542067	0.517821337320693	-0.11202415070354
ATF3	caPeak	73	1731	2516	50915	0.853412726697502	0.66347135177673	1.08294584697772	0.212438086755541	0.468188248662498	-0.228684469693466
ATF3	caPeak-haPeak	67	1737	1570	51861	1.27412935791417	0.977862726754076	1.63581667379435	0.0658897675674017	0.252603310609473	0.349511756830725
ATF3	non-caPeak	1664	140	49345	4086	0.984192005098542	0.825243372503646	1.18147254190928	0.857020410085713	0.95506283015562	-0.0229882978376529
ATF4	caPeak	67	1671	2522	51005	0.810891973752815	0.623417376704877	1.03914520073664	0.105951909036665	0.325179591789947	-0.302418362086813
ATF4	caPeak-haPeak	56	1682	1584	51943	1.0917582777845	0.817315226808697	1.43231935204608	0.517637454547318	0.73671009419566	0.126653469770212
ATF4	non-caPeak	1615	123	49421	4106	1.09087955353953	0.905000871072912	1.3249745925573	0.383692728835385	0.62541331184127	0.125491819256494
ATF6	caPeak	95	2125	2495	50501	0.904884548943231	0.725993230620257	1.11642467566327	0.383570287787385	0.62541331184127	-0.14419435936783
ATF6	caPeak-haPeak	87	2133	1551	51445	1.35286298710591	1.07262711932034	1.68755603691867	0.00877045330858309	0.0799807730523096	0.43601573596483
