value	Type	Tissue1	Tissue2	r2	iPSCORE Tissue	QTL Specificity
0.0216354405769043	EDev	CVPC	Adipose_Subcutaneous	0.000468092288956756	CVPC	EDev
-0.0083103500003496	EDev	iPSC	Adipose_Subcutaneous	6.90619171283106e-05	iPSC	EDev
-0.025701239052235	EDev	PPC	Adipose_Subcutaneous	0.000660553688820131	PPC	EDev
0.0176373588505108	EDev	CVPC	Adipose_Visceral_Omentum	0.000311076427221692	CVPC	EDev
0.0470682359426563	EDev	iPSC	Adipose_Visceral_Omentum	0.00221541883475356	iPSC	EDev
0.00829273700186003	EDev	PPC	Adipose_Visceral_Omentum	6.87694869820185e-05	PPC	EDev
0.0182167001547069	EDev	CVPC	Adrenal_Gland	0.0003318481645265	CVPC	EDev
-0.0282536247066682	EDev	iPSC	Adrenal_Gland	0.000798267309065251	iPSC	EDev
-0.0547313003635495	EDev	PPC	Adrenal_Gland	0.00299551523948507	PPC	EDev
0.0321623856475049	EDev	CVPC	Artery_Aorta	0.00103441905053883	CVPC	EDev
-0.00219164635423127	EDev	iPSC	Artery_Aorta	4.80331374201521e-06	iPSC	EDev
0.000959424075652525	EDev	PPC	Artery_Aorta	9.20494556941702e-07	PPC	EDev
-0.00219579953424214	EDev	CVPC	Artery_Coronary	4.82153559457801e-06	CVPC	EDev
0.00722479924583563	EDev	iPSC	Artery_Coronary	5.21977241426271e-05	iPSC	EDev
0.0337010589130917	EDev	PPC	Artery_Coronary	0.00113576137186367	PPC	EDev
0.0586376148326079	EDev	CVPC	Artery_Tibial	0.00343836987325728	CVPC	EDev
0.0152518972248405	EDev	iPSC	Artery_Tibial	0.000232620368957098	iPSC	EDev
-0.00377644485055826	EDev	PPC	Artery_Tibial	1.4261535709308e-05	PPC	EDev
-0.0159204713656675	EDev	CVPC	Brain_Amygdala	0.000253461408505039	CVPC	EDev
0.0254929954347873	EDev	iPSC	Brain_Amygdala	0.000649892816238087	iPSC	EDev
0.0276702306459541	EDev	PPC	Brain_Amygdala	0.000765641664000297	PPC	EDev
0.0350410773977069	EDev	CVPC	Brain_Anterior_cingulate_cortex_BA24	0.00122787710519209	CVPC	EDev
0.0456386975504328	EDev	iPSC	Brain_Anterior_cingulate_cortex_BA24	0.00208289071409988	iPSC	EDev
0.0472549069041798	EDev	PPC	Brain_Anterior_cingulate_cortex_BA24	0.0022330262265227	PPC	EDev
0.0148030835315757	EDev	CVPC	Brain_Caudate_basal_ganglia	0.000219131282042808	CVPC	EDev
0.0315934679623095	EDev	iPSC	Brain_Caudate_basal_ganglia	0.000998147217885476	iPSC	EDev
0.0268420926239211	EDev	PPC	Brain_Caudate_basal_ganglia	0.00072049793643116	PPC	EDev
0.0015441092844558	EDev	CVPC	Brain_Cerebellar_Hemisphere	2.38427348234259e-06	CVPC	EDev
0.0380989129005187	EDev	iPSC	Brain_Cerebellar_Hemisphere	0.00145152716420131	iPSC	EDev
