gene_id	AdjCategory	dist	Category
ENSG00000000460	Adult	27041	Adult
ENSG00000001036	Adult	31024	Adult
ENSG00000001084	Adult	19232	Adult
ENSG00000001561	Adult	293179	Adult
ENSG00000001630	Adult	34799	Adult
ENSG00000002016	Adult	31460	Adult
ENSG00000002330	Adult	25491	Adult
ENSG00000002587	Adult	17151	Adult
ENSG00000002746	Adult	502	Adult
ENSG00000002834	Adult	683	Adult
ENSG00000002919	Adult	343255	Adult
ENSG00000002933	Adult	19899	Adult
ENSG00000003147	Adult	14904	Adult
ENSG00000003249	Adult	10071	Adult
ENSG00000003402	Adult	22293	Adult
ENSG00000003987	Adult	200	Adult
ENSG00000003989	Adult	9071	Adult
ENSG00000004059	Adult	63564	Adult
ENSG00000004139	Adult	25614	Adult
ENSG00000004399	Adult	52204	Adult
ENSG00000004660	Adult	3197	Adult
ENSG00000004799	Adult	7942	Adult
ENSG00000004864	Adult	28545	Adult
ENSG00000004866	Adult	226218	Adult
ENSG00000004948	Adult	5277	Adult
ENSG00000005001	Adult	9272	Adult
ENSG00000005007	Adult	477279	Adult
ENSG00000005020	Adult	82719	Adult
ENSG00000005059	Adult	71776	Adult
ENSG00000005075	Adult	78752	Adult
ENSG00000005100	Adult	10057	Adult
ENSG00000005108	Adult	9190	Adult
ENSG00000005187	Adult	55605	Adult
ENSG00000005194	Adult	207696	Adult
ENSG00000005238	Adult	1944	Adult
ENSG00000005249	Adult	512	Adult
ENSG00000005339	Adult	40852	Adult
ENSG00000005379	Adult	15628	Adult
ENSG00000005421	Adult	8391	Adult
ENSG00000005436	Adult	61796	Adult
ENSG00000005471	Adult	6488	Adult
ENSG00000005486	Adult	8482	Adult
ENSG00000005700	Adult	68138	Adult
ENSG00000005812	Adult	7000	Adult
ENSG00000006007	Adult	27210	Adult
ENSG00000006015	Adult	147356	Adult
ENSG00000006016	Adult	1287	Adult
ENSG00000006042	Adult	15283	Adult
ENSG00000006062	Adult	29380	Adult
ENSG00000006071	Adult	38822	Adult
ENSG00000006125	Adult	14971	Adult
ENSG00000006283	Adult	16711	Adult
ENSG00000006451	Adult	23808	Adult
ENSG00000006453	Adult	7949	Adult
ENSG00000006534	Adult	39206	Adult
ENSG00000006555	Adult	565	Adult
ENSG00000006576	Adult	188355	Adult
ENSG00000006606	Adult	8162	Adult
ENSG00000006607	Adult	146546	Adult
ENSG00000006611	Adult	13643	Adult
ENSG00000006695	Adult	74495	Adult
ENSG00000006704	Adult	26830	Adult
ENSG00000006712	Adult	55197	Adult
ENSG00000006831	Adult	7727	Adult
ENSG00000007062	Adult	44295	Adult
