element_id	tissue	beta	Category
ENSG00000000460.17	iPSC	0.819658423652394	Shared
ENSG00000000938.13	iPSC	1.58337885450981	Shared
ENSG00000001084.13	iPSC	-0.61063188911631	Shared
ENSG00000001561.7	iPSC	0.778205491543666	Shared
ENSG00000002016.18	iPSC	-1.52426069479078	Shared
ENSG00000003056.8	iPSC	-0.982991906828988	Shared
ENSG00000003147.19	iPSC	-1.29004020054495	Shared
ENSG00000003249.15	iPSC	0.68101488950149	Shared
ENSG00000003393.16	iPSC	-0.785260924132781	Shared
ENSG00000003436.16	iPSC	-1.50105743349089	Shared
ENSG00000003509.16	iPSC	-0.514792759715461	Shared
ENSG00000003987.14	iPSC	0.671646065197279	Shared
ENSG00000004139.14	iPSC	0.924155714433796	Shared
ENSG00000004142.12	iPSC	-0.430065548689438	Shared
ENSG00000004399.13	iPSC	-1.03267271014994	EDev
ENSG00000004534.15	iPSC	0.574966777786393	Shared
ENSG00000004660.15	iPSC	-0.597145782202053	EDev
ENSG00000004777.19	iPSC	-0.480481930757246	Shared
ENSG00000005001.10	iPSC	0.553855909271335	Shared
ENSG00000005020.13	iPSC	0.674267465253072	Shared
ENSG00000005075.16	iPSC	-0.318373475160647	Shared
ENSG00000005100.13	iPSC	0.593449765499823	EDev
ENSG00000005108.17	iPSC	-0.769911178739558	EDev
ENSG00000005156.12	iPSC	0.70105676324747	Shared
ENSG00000005187.12	iPSC	-0.653462516266384	Shared
ENSG00000005421.9	iPSC	-1.80498619618944	Shared
ENSG00000005436.14	iPSC	1.24288587348787	Shared
ENSG00000005471.19	iPSC	-0.760774411829791	EDev
ENSG00000005486.17	iPSC	0.430280352435389	Shared
ENSG00000005801.18	iPSC	-1.11181617809666	Shared
ENSG00000005812.11	iPSC	1.15710001551513	Shared
ENSG00000005882.12	iPSC	-0.950313790543264	Shared
ENSG00000005884.18	iPSC	-0.585442209603946	Shared
ENSG00000006007.12	iPSC	2.51782703888862	Shared
ENSG00000006015.18	iPSC	0.321578358157232	Shared
ENSG00000006016.12	iPSC	-1.07402753731482	Shared
ENSG00000006047.13	iPSC	0.480895323983286	Shared
ENSG00000006071.16	iPSC	2.22628062795003	Shared
ENSG00000006125.18	iPSC	0.254336758134411	Shared
ENSG00000006282.22	iPSC	-1.72931647742496	Shared
ENSG00000006283.18	iPSC	1.21674625938724	EDev
ENSG00000006453.14	iPSC	-1.50454304301159	Shared
ENSG00000006576.17	iPSC	-0.466186288860593	Shared
ENSG00000006606.9	iPSC	0.624616803728864	Shared
ENSG00000006704.11	iPSC	-0.767816562521591	EDev
ENSG00000006744.19	iPSC	0.762126955201722	Shared
ENSG00000007341.19	iPSC	1.06581210427063	Shared
ENSG00000007402.12	iPSC	-0.364040422020702	Shared
ENSG00000007541.17	iPSC	-0.492283694525463	EDev
ENSG00000008018.9	iPSC	-0.400249473714995	Shared
ENSG00000008128.23	iPSC	0.863134759849282	Shared
ENSG00000008130.15	iPSC	-1.08525641251431	Shared
ENSG00000008394.13	iPSC	0.275876149716407	Shared
