Tissue	Cluster_ID	Annotation
iPSC	iPSC_1	eGene,caPeak,haPeak
iPSC	iPSC_10	eGene,caPeak
iPSC	iPSC_100	eGene,caPeak
iPSC	iPSC_1000	eGene
iPSC	iPSC_1001	eGene,caPeak
iPSC	iPSC_1002	eGene,caPeak
iPSC	iPSC_1003	eGene
iPSC	iPSC_1004	eGene,caPeak
iPSC	iPSC_1005	eGene,haPeak
iPSC	iPSC_1006	eGene,haPeak
iPSC	iPSC_1007	eGene
iPSC	iPSC_1008	eGene,caPeak
iPSC	iPSC_1009	eGene
iPSC	iPSC_101	eGene,caPeak,haPeak
iPSC	iPSC_1010	eGene,caPeak
iPSC	iPSC_1011	eGene
iPSC	iPSC_1012	eGene,caPeak
iPSC	iPSC_1013	eGene
iPSC	iPSC_1014	eGene
iPSC	iPSC_1015	eGene
iPSC	iPSC_1016	eGene
iPSC	iPSC_1017	eGene
iPSC	iPSC_1018	eGene,haPeak
iPSC	iPSC_1019	eGene,caPeak
iPSC	iPSC_102	eGene,caPeak
iPSC	iPSC_1020	eGene,caPeak
iPSC	iPSC_1021	eGene,caPeak
iPSC	iPSC_1022	eGene,caPeak
iPSC	iPSC_1023	eGene,caPeak
iPSC	iPSC_1024	eGene,caPeak
iPSC	iPSC_1025	eGene
iPSC	iPSC_1026	eGene,caPeak
iPSC	iPSC_1027	eGene,haPeak
iPSC	iPSC_1028	eGene,caPeak
iPSC	iPSC_1029	eGene,caPeak
iPSC	iPSC_103	eGene,caPeak
iPSC	iPSC_1030	eGene
iPSC	iPSC_1031	eGene
iPSC	iPSC_1032	eGene,caPeak
iPSC	iPSC_1033	eGene
iPSC	iPSC_1034	eGene,caPeak
iPSC	iPSC_1035	eGene,caPeak
iPSC	iPSC_1036	eGene
iPSC	iPSC_1037	eGene,caPeak
iPSC	iPSC_1038	eGene
iPSC	iPSC_1039	eGene,caPeak
iPSC	iPSC_104	eGene,caPeak
iPSC	iPSC_1040	eGene,caPeak
iPSC	iPSC_1041	eGene
iPSC	iPSC_1042	eGene,caPeak
iPSC	iPSC_1043	eGene,caPeak
iPSC	iPSC_1044	eGene,caPeak
iPSC	iPSC_1045	eGene
iPSC	iPSC_1046	eGene,caPeak
iPSC	iPSC_1047	eGene,caPeak
iPSC	iPSC_1048	eGene,caPeak
iPSC	iPSC_1049	eGene
iPSC	iPSC_105	caPeak
iPSC	iPSC_1050	eGene
iPSC	iPSC_1051	eGene,caPeak
iPSC	iPSC_1052	eGene
iPSC	iPSC_1053	eGene,caPeak
iPSC	iPSC_1054	eGene
iPSC	iPSC_1055	eGene,caPeak
iPSC	iPSC_1056	eGene,caPeak
iPSC	iPSC_1057	eGene
iPSC	iPSC_1058	eGene,caPeak
iPSC	iPSC_1059	eGene
iPSC	iPSC_106	caPeak,haPeak
iPSC	iPSC_1060	eGene
iPSC	iPSC_1061	eGene
iPSC	iPSC_1062	eGene,caPeak
iPSC	iPSC_1063	eGene,caPeak
iPSC	iPSC_1064	eGene,caPeak
iPSC	iPSC_1065	eGene,caPeak
iPSC	iPSC_1066	eGene,caPeak
iPSC	iPSC_1067	eGene
iPSC	iPSC_1068	eGene,caPeak
iPSC	iPSC_1069	eGene
iPSC	iPSC_107	caPeak,haPeak
iPSC	iPSC_1070	eGene,caPeak
iPSC	iPSC_1071	eGene,haPeak
iPSC	iPSC_1072	eGene,caPeak
iPSC	iPSC_1073	eGene
iPSC	iPSC_1074	eGene
iPSC	iPSC_1075	eGene,caPeak
iPSC	iPSC_1076	eGene,caPeak
iPSC	iPSC_1077	eGene,caPeak
iPSC	iPSC_1078	eGene
iPSC	iPSC_1079	eGene
iPSC	iPSC_108	caPeak
iPSC	iPSC_1080	eGene,caPeak
iPSC	iPSC_1081	eGene,caPeak
iPSC	iPSC_1082	eGene
iPSC	iPSC_1083	eGene
iPSC	iPSC_1084	eGene,caPeak
iPSC	iPSC_1085	eGene,caPeak
iPSC	iPSC_1086	eGene
iPSC	iPSC_1087	eGene
iPSC	iPSC_1088	eGene,caPeak
iPSC	iPSC_1089	eGene,caPeak
iPSC	iPSC_109	caPeak
iPSC	iPSC_1090	eGene,caPeak
iPSC	iPSC_1091	eGene,caPeak
iPSC	iPSC_1092	eGene,caPeak
iPSC	iPSC_1093	eGene,haPeak
iPSC	iPSC_1094	eGene,caPeak
iPSC	iPSC_1095	eGene
iPSC	iPSC_1096	eGene,caPeak
iPSC	iPSC_1097	eGene
iPSC	iPSC_1098	eGene,caPeak
iPSC	iPSC_1099	eGene,caPeak
iPSC	iPSC_11	eGene,caPeak,haPeak
iPSC	iPSC_110	caPeak
iPSC	iPSC_1100	eGene
iPSC	iPSC_1101	eGene,caPeak
iPSC	iPSC_1102	eGene,caPeak
iPSC	iPSC_1103	eGene,caPeak
iPSC	iPSC_1104	eGene,caPeak
iPSC	iPSC_1105	eGene
iPSC	iPSC_1106	eGene,haPeak
iPSC	iPSC_1107	eGene
iPSC	iPSC_1108	eGene
iPSC	iPSC_1109	eGene
iPSC	iPSC_111	caPeak,haPeak
iPSC	iPSC_1110	eGene
iPSC	iPSC_1111	eGene,caPeak
iPSC	iPSC_1112	eGene
iPSC	iPSC_1113	eGene
iPSC	iPSC_1114	eGene,caPeak
iPSC	iPSC_1115	eGene
iPSC	iPSC_1116	eGene
iPSC	iPSC_1117	eGene,caPeak
iPSC	iPSC_1118	eGene,caPeak
iPSC	iPSC_1119	eGene
iPSC	iPSC_112	caPeak
iPSC	iPSC_1120	eGene,caPeak
iPSC	iPSC_1121	eGene,haPeak
iPSC	iPSC_1122	eGene,caPeak
iPSC	iPSC_1123	eGene,caPeak
iPSC	iPSC_1124	eGene,caPeak
iPSC	iPSC_1125	eGene,caPeak
iPSC	iPSC_1126	eGene,caPeak
iPSC	iPSC_1127	eGene
iPSC	iPSC_1128	eGene,caPeak
iPSC	iPSC_1129	eGene
iPSC	iPSC_113	eGene,caPeak
iPSC	iPSC_1130	eGene
iPSC	iPSC_1131	eGene,caPeak
iPSC	iPSC_1132	eGene
iPSC	iPSC_1133	eGene,caPeak
iPSC	iPSC_1134	eGene,caPeak
iPSC	iPSC_1135	eGene,caPeak
iPSC	iPSC_1136	eGene,caPeak
iPSC	iPSC_1137	eGene,caPeak
iPSC	iPSC_1138	eGene,caPeak
iPSC	iPSC_1139	eGene,haPeak
iPSC	iPSC_114	eGene,caPeak
iPSC	iPSC_1140	eGene,caPeak
iPSC	iPSC_1141	eGene,caPeak
iPSC	iPSC_1142	eGene,haPeak
iPSC	iPSC_1143	eGene,caPeak
iPSC	iPSC_1144	eGene,caPeak
iPSC	iPSC_1145	eGene
iPSC	iPSC_1146	eGene,haPeak
iPSC	iPSC_1147	eGene,haPeak
iPSC	iPSC_1148	eGene,caPeak
iPSC	iPSC_1149	eGene
iPSC	iPSC_115	eGene,caPeak
iPSC	iPSC_1150	eGene,caPeak
iPSC	iPSC_1151	eGene,haPeak
iPSC	iPSC_1152	eGene,caPeak
iPSC	iPSC_1153	eGene,caPeak
iPSC	iPSC_1154	eGene,caPeak
iPSC	iPSC_1155	eGene,caPeak
iPSC	iPSC_1156	eGene,caPeak
iPSC	iPSC_1157	eGene,caPeak
iPSC	iPSC_1158	eGene,caPeak
iPSC	iPSC_1159	eGene,caPeak
iPSC	iPSC_116	eGene,caPeak
iPSC	iPSC_1160	eGene,caPeak
iPSC	iPSC_1161	eGene,caPeak
iPSC	iPSC_1162	eGene,caPeak
iPSC	iPSC_1163	eGene,caPeak
iPSC	iPSC_1164	eGene,caPeak
iPSC	iPSC_1165	eGene,caPeak
iPSC	iPSC_1166	eGene,haPeak
iPSC	iPSC_1167	eGene
iPSC	iPSC_1168	eGene
iPSC	iPSC_1169	eGene,caPeak
iPSC	iPSC_117	eGene,caPeak
iPSC	iPSC_1170	eGene
iPSC	iPSC_1171	eGene,caPeak
iPSC	iPSC_1172	eGene,caPeak
iPSC	iPSC_1173	eGene,caPeak
iPSC	iPSC_1174	eGene
iPSC	iPSC_1175	eGene,haPeak
iPSC	iPSC_1176	eGene,caPeak
iPSC	iPSC_1177	eGene,caPeak
iPSC	iPSC_1178	eGene
iPSC	iPSC_1179	eGene
iPSC	iPSC_118	eGene,caPeak,haPeak
iPSC	iPSC_1180	eGene
iPSC	iPSC_1181	eGene,caPeak
iPSC	iPSC_1182	eGene,caPeak
iPSC	iPSC_1183	eGene,caPeak
iPSC	iPSC_1184	eGene,caPeak
iPSC	iPSC_1185	eGene,haPeak
iPSC	iPSC_1186	eGene
iPSC	iPSC_1187	eGene
iPSC	iPSC_1188	eGene,haPeak
iPSC	iPSC_1189	eGene,caPeak
iPSC	iPSC_119	eGene,caPeak
iPSC	iPSC_1190	eGene,caPeak
iPSC	iPSC_1191	eGene,caPeak
iPSC	iPSC_1192	eGene
iPSC	iPSC_1193	eGene,caPeak
iPSC	iPSC_1194	eGene,caPeak
iPSC	iPSC_1195	eGene,caPeak
iPSC	iPSC_1196	eGene,caPeak
iPSC	iPSC_1197	eGene
iPSC	iPSC_1198	eGene
iPSC	iPSC_1199	eGene,caPeak
iPSC	iPSC_12	eGene
iPSC	iPSC_120	eGene,caPeak
iPSC	iPSC_1200	eGene
iPSC	iPSC_1201	eGene,caPeak
iPSC	iPSC_1202	eGene,caPeak
iPSC	iPSC_1203	eGene,caPeak
iPSC	iPSC_1204	eGene,caPeak
iPSC	iPSC_1205	eGene,caPeak
iPSC	iPSC_1206	eGene
iPSC	iPSC_1207	eGene,haPeak
iPSC	iPSC_1208	eGene,haPeak
iPSC	iPSC_1209	eGene,caPeak
iPSC	iPSC_121	eGene
iPSC	iPSC_1210	eGene,caPeak
iPSC	iPSC_1211	eGene,caPeak
iPSC	iPSC_1212	eGene,caPeak
iPSC	iPSC_1213	eGene,caPeak
iPSC	iPSC_1214	eGene,caPeak
iPSC	iPSC_1215	eGene,caPeak
iPSC	iPSC_1216	eGene,caPeak
iPSC	iPSC_1217	eGene,caPeak
iPSC	iPSC_1218	eGene
iPSC	iPSC_1219	eGene,caPeak
iPSC	iPSC_122	eGene,caPeak
iPSC	iPSC_1220	eGene,caPeak
iPSC	iPSC_1221	eGene,caPeak
iPSC	iPSC_1222	eGene,caPeak
iPSC	iPSC_1223	eGene,caPeak
iPSC	iPSC_1224	eGene,caPeak
iPSC	iPSC_1225	eGene,caPeak
iPSC	iPSC_1226	eGene,caPeak
iPSC	iPSC_1227	eGene,caPeak
iPSC	iPSC_1228	eGene,caPeak
iPSC	iPSC_1229	eGene,caPeak
iPSC	iPSC_123	eGene
iPSC	iPSC_1230	eGene,caPeak
iPSC	iPSC_1231	eGene,caPeak
iPSC	iPSC_1232	caPeak,haPeak
iPSC	iPSC_1233	caPeak,haPeak
iPSC	iPSC_1234	caPeak,haPeak
iPSC	iPSC_1235	caPeak
iPSC	iPSC_1236	caPeak,haPeak
iPSC	iPSC_1237	caPeak
iPSC	iPSC_1238	caPeak
iPSC	iPSC_1239	caPeak,haPeak
iPSC	iPSC_124	eGene,caPeak,haPeak
iPSC	iPSC_1240	caPeak,haPeak
iPSC	iPSC_1241	caPeak,haPeak
iPSC	iPSC_1242	caPeak
iPSC	iPSC_1243	caPeak
iPSC	iPSC_1244	caPeak
iPSC	iPSC_1245	caPeak
iPSC	iPSC_1246	caPeak,haPeak
iPSC	iPSC_1247	caPeak
iPSC	iPSC_1248	caPeak,haPeak
