Var1	Var2	Freq	type	Fraction
caQTL	1-5	91	caQTL	0.191578947368421
eQTL	1-5	74	eQTL	0.201634877384196
haQTL	1-5	33	haQTL	0.22
caQTL	6-10	56	caQTL	0.117894736842105
eQTL	6-10	66	eQTL	0.17983651226158
haQTL	6-10	21	haQTL	0.14
caQTL	11-15	68	caQTL	0.143157894736842
eQTL	11-15	42	eQTL	0.114441416893733
haQTL	11-15	19	haQTL	0.126666666666667
caQTL	16-20	53	caQTL	0.111578947368421
eQTL	16-20	18	eQTL	0.0490463215258856
haQTL	16-20	12	haQTL	0.08
caQTL	21-25	31	caQTL	0.0652631578947368
eQTL	21-25	18	eQTL	0.0490463215258856
haQTL	21-25	9	haQTL	0.06
caQTL	26-50	103	caQTL	0.216842105263158
eQTL	26-50	89	eQTL	0.242506811989101
haQTL	26-50	26	haQTL	0.173333333333333
caQTL	>50	73	caQTL	0.153684210526316
eQTL	>50	60	eQTL	0.163487738419619
haQTL	>50	30	haQTL	0.2
