qElement_Type	Complexity	V8	min_distance
caPeak	Singleton	ENSG00000288849.1	9367
caPeak	Complex	ENSG00000103154.10	15271
caPeak	Singleton	ENSG00000103154.10	13562
caPeak	Singleton	ENSG00000103154.10	3404
caPeak	Singleton	ENSG00000103154.10	46165
caPeak	Singleton	ENSG00000103154.10	64428
caPeak	Singleton	ENSG00000140943.18	72393
caPeak	Complex	ENSG00000260018.2	11120
caPeak	Complex	ENSG00000140943.18	11205
caPeak	Singleton	ENSG00000103168.17	8105
caPeak	Singleton	ENSG00000103168.17	13833
caPeak	Singleton	ENSG00000103168.17	46701
caPeak	Singleton	ENSG00000103168.17	28078
caPeak	Singleton	ENSG00000103175.11	28210
caPeak	Singleton	ENSG00000103175.11	36652
caPeak	Singleton	ENSG00000103175.11	14211
caPeak	Singleton	ENSG00000064270.13	13543
caPeak	Singleton	ENSG00000140950.16	27154
caPeak	Singleton	ENSG00000140950.16	6363
caPeak	Complex	ENSG00000140950.16	26712
caPeak	Singleton	ENSG00000135686.13	794
caPeak	Singleton	ENSG00000135686.13	18284
caPeak	Singleton	ENSG00000103194.16	26281
caPeak	Singleton	ENSG00000103194.16	47661
caPeak	Singleton	ENSG00000103196.12	6549
caPeak	Singleton	ENSG00000103196.12	13792
caPeak	Complex	ENSG00000153786.13	58757
caPeak	Singleton	ENSG00000135709.14	57034
caPeak	Singleton	ENSG00000135709.14	68373
caPeak	Singleton	ENSG00000275088.1	37094
caPeak	Singleton	ENSG00000275088.1	23112
caPeak	Singleton	ENSG00000131149.19	95449
caPeak	Singleton	ENSG00000278716.1	56027
caPeak	Singleton	ENSG00000278716.1	54661
caPeak	Singleton	ENSG00000278716.1	16379
caPeak	Singleton	ENSG00000278716.1	15282
caPeak	Complex	ENSG00000278716.1	43236
caPeak	Singleton	ENSG00000131153.9	37031
caPeak	Singleton	ENSG00000131153.9	11574
caPeak	Complex	ENSG00000131153.9	9013
caPeak	Singleton	ENSG00000154102.11	16627
caPeak	Singleton	ENSG00000140968.12	31680
caPeak	Singleton	ENSG00000140968.12	8147
caPeak	Singleton	ENSG00000140968.12	4098
caPeak	Singleton	ENSG00000140968.12	61762
caPeak	Singleton	ENSG00000140968.12	31841
caPeak	Singleton	ENSG00000140968.12	47484
caPeak	Complex	ENSG00000140968.12	62887
caPeak	Singleton	ENSG00000140968.12	72469
caPeak	Singleton	ENSG00000269186.4	58075
caPeak	Singleton	ENSG00000270020.1	7980
caPeak	Singleton	ENSG00000154027.19	35057
caPeak	Singleton	ENSG00000154027.19	96849
caPeak	Singleton	ENSG00000260456.7	23724
caPeak	Singleton	ENSG00000269935.1	62897
